Title,Category,Type,Release Year,Added Year,Duration (Minutes/Episodes),IMDB Rating,Director,Country,Platform
Sherlock 4,Horror,TV Show,1994,2009,100,8.1,Francis Ford Coppola,Germany,Amazon Prime
Titanic 10,Fantasy,TV Show,2024,2025,60,6.7,James Cameron,Canada,Amazon Prime
Inception 4,Thriller,Movie,2010,2014,70,4.9,J.J. Abrams,UK,Disney+
The Office 9,Mystery,Movie,2000,2014,84,4.9,Martin Scorsese,USA,Netflix
Westworld 5,Action,TV Show,1988,2019,20,4.9,Quentin Tarantino,South Korea,Amazon Prime
The Witcher 8,Sci-Fi,Movie,2012,2022,135,7,Francis Ford Coppola,Japan,HBO Max
Pulp Fiction 2,Romance,TV Show,1975,1987,40,6.5,Christopher Nolan,South Korea,Netflix
Titanic 6,Comedy,Movie,2024,2025,98,7.6,James Cameron,Japan,Hulu
Black Mirror 7,Comedy,TV Show,1997,2021,30,7.3,Christopher Nolan,India,Netflix
The Godfather 6,Drama,Movie,2002,2010,70,4.7,Ridley Scott,UK,Disney+
Avengers: Endgame 3,Horror,TV Show,2019,2025,90,8,Ridley Scott,India,Hulu
Game of Thrones 1,Horror,TV Show,1972,1989,50,6.5,Ridley Scott,France,HBO Max
Sherlock 7,Sci-Fi,TV Show,1991,2001,90,7.7,Ridley Scott,Spain,Amazon Prime
The Godfather 4,Romance,TV Show,2002,2015,50,4.6,Christopher Nolan,UK,HBO Max
The Boys 8,Fantasy,TV Show,2009,2012,20,7.5,J.J. Abrams,UK,Amazon Prime
The Mandalorian 3,Drama,Movie,1980,2016,161,8.4,Martin Scorsese,Canada,Disney+
The Mandalorian 6,Crime,Movie,2007,2025,73,4.7,Ridley Scott,Japan,Netflix
Interstellar 4,Fantasy,Movie,2018,2025,170,4.9,Francis Ford Coppola,Australia,HBO Max
Squid Game 9,Horror,Movie,2007,2017,92,9.3,James Cameron,France,Amazon Prime
Breaking Bad 6,Action,Movie,1974,1976,158,4.4,Francis Ford Coppola,USA,Disney+
House of Cards 5,Fantasy,TV Show,2004,2008,50,9.3,Martin Scorsese,South Korea,Netflix
Sherlock 1,Sci-Fi,Movie,1990,1997,95,4.1,Francis Ford Coppola,South Korea,Apple TV+
The Godfather 3,Sci-Fi,Movie,2013,2023,66,6.8,David Fincher,India,Apple TV+
The Office 5,Crime,Movie,1981,2006,172,5.4,David Fincher,USA,HBO Max
Friends 4,Romance,TV Show,2003,2016,50,4.9,Francis Ford Coppola,France,Apple TV+
Breaking Bad 6,Romance,TV Show,2014,2021,90,5.9,James Cameron,USA,Hulu
Narcos 4,Sci-Fi,Movie,1990,1994,101,9,Christopher Nolan,UK,Hulu
The Crown 9,Fantasy,TV Show,1993,1994,70,9.2,Steven Spielberg,Japan,Disney+
Stranger Things 10,Drama,Movie,1975,1981,177,5.2,Martin Scorsese,South Korea,Apple TV+
Sherlock 8,Horror,TV Show,2009,2016,100,7,Christopher Nolan,Australia,HBO Max
Titanic 3,Fantasy,Movie,2019,2019,124,9.2,David Fincher,Canada,Amazon Prime
Inception 8,Fantasy,TV Show,1995,2022,80,6.2,Christopher Nolan,Canada,Hulu
Gladiator 4,Mystery,Movie,2014,2018,138,6.7,Ridley Scott,Canada,Hulu
The Boys 9,Comedy,Movie,2014,2020,121,4.8,Quentin Tarantino,Germany,Netflix
Titanic 5,Drama,TV Show,2009,2025,70,5.2,Martin Scorsese,UK,HBO Max
The Mandalorian 10,Romance,Movie,2009,2020,71,8.1,Francis Ford Coppola,UK,Netflix
The Godfather 1,Comedy,TV Show,1971,1976,60,8.1,Quentin Tarantino,South Korea,Amazon Prime
Pulp Fiction 5,Fantasy,TV Show,2013,2017,30,9.3,J.J. Abrams,South Korea,HBO Max
Breaking Bad 4,Horror,Movie,1985,2013,154,7.1,Denis Villeneuve,UK,Apple TV+
Narcos 8,Romance,Movie,1974,1986,129,5.5,Denis Villeneuve,India,Amazon Prime
The Crown 3,Sci-Fi,TV Show,1970,1976,80,8,Ridley Scott,India,Amazon Prime
The Witcher 7,Drama,Movie,2019,2023,85,6.3,James Cameron,Australia,Disney+
Breaking Bad 4,Horror,Movie,2014,2018,169,4.4,James Cameron,Germany,Apple TV+
The Mandalorian 4,Horror,Movie,1981,2014,167,8.3,James Cameron,Canada,Netflix
Game of Thrones 7,Comedy,Movie,1995,2023,156,5.5,J.J. Abrams,Japan,HBO Max
The Office 3,Comedy,Movie,2006,2024,159,6.3,Martin Scorsese,Canada,Amazon Prime
Inception 4,Drama,Movie,2001,2003,144,7.2,Christopher Nolan,South Korea,Netflix
Money Heist 5,Mystery,Movie,2001,2011,145,5.1,Francis Ford Coppola,Australia,Apple TV+
The Dark Knight 2,Action,TV Show,1988,1997,40,7.7,J.J. Abrams,India,Hulu
The Dark Knight 4,Comedy,TV Show,2003,2010,70,7.8,Steven Spielberg,Canada,Disney+
The Dark Knight 3,Horror,Movie,1997,2024,81,4.6,Steven Spielberg,France,Apple TV+
Interstellar 6,Sci-Fi,TV Show,2019,2019,40,4.9,J.J. Abrams,UK,Amazon Prime
The Office 5,Drama,TV Show,2016,2020,90,4.7,Christopher Nolan,UK,Apple TV+
Chernobyl 5,Horror,TV Show,1993,1997,30,9,Steven Spielberg,Canada,Netflix
Inception 1,Romance,TV Show,1972,2004,90,4.4,David Fincher,Australia,Apple TV+
House of Cards 2,Drama,Movie,1979,2005,100,6.2,Christopher Nolan,South Korea,Apple TV+
Stranger Things 9,Thriller,Movie,1974,2008,130,6.9,Quentin Tarantino,Spain,Amazon Prime
Westworld 8,Thriller,Movie,1979,1998,85,8.6,David Fincher,South Korea,Hulu
Black Mirror 5,Crime,TV Show,2008,2013,80,6.4,Martin Scorsese,South Korea,Disney+
Game of Thrones 2,Thriller,TV Show,2019,2024,90,9.2,Francis Ford Coppola,Spain,Netflix
Friends 4,Mystery,TV Show,2001,2002,20,6.5,David Fincher,France,Amazon Prime
Breaking Bad 2,Crime,TV Show,1986,2016,20,9.2,Denis Villeneuve,India,Apple TV+
The Boys 10,Mystery,Movie,1988,2011,68,9.3,Steven Spielberg,Canada,HBO Max
Gladiator 8,Comedy,Movie,1993,2002,130,4.2,David Fincher,India,Disney+
Narcos 4,Crime,TV Show,1999,2012,40,4.6,Francis Ford Coppola,Canada,Apple TV+
Avengers: Endgame 10,Mystery,TV Show,2003,2004,50,7.6,David Fincher,India,Amazon Prime
Pulp Fiction 7,Thriller,TV Show,2008,2012,20,4.8,Ridley Scott,Japan,Disney+
The Boys 8,Fantasy,Movie,2015,2018,179,4.6,David Fincher,Australia,Apple TV+
Friends 9,Sci-Fi,TV Show,2007,2015,100,6.4,Ridley Scott,Canada,Netflix
The Crown 4,Horror,TV Show,1983,1994,70,9.3,David Fincher,Spain,Apple TV+
Titanic 10,Romance,Movie,1981,2010,167,9.4,James Cameron,South Korea,HBO Max
The Godfather 10,Thriller,Movie,1979,2001,107,7.3,Ridley Scott,USA,HBO Max
Westworld 1,Action,Movie,1998,2006,67,9.1,David Fincher,Japan,Disney+
Pulp Fiction 5,Drama,Movie,1995,2021,170,5.7,Ridley Scott,Germany,Hulu
Money Heist 1,Action,Movie,2004,2013,157,4.7,Denis Villeneuve,UK,Apple TV+
Friends 8,Action,Movie,1997,2020,91,6.6,Christopher Nolan,Spain,Disney+
Titanic 7,Sci-Fi,TV Show,2004,2011,40,8.2,J.J. Abrams,Germany,Netflix
Pulp Fiction 7,Sci-Fi,TV Show,2013,2022,60,8.2,Quentin Tarantino,India,Disney+
Stranger Things 9,Romance,Movie,2024,2024,110,9.3,James Cameron,Australia,Disney+
Narcos 7,Crime,TV Show,1991,2012,10,6.7,Denis Villeneuve,South Korea,Disney+
Stranger Things 9,Comedy,TV Show,2015,2015,10,5.8,James Cameron,Australia,Amazon Prime
Squid Game 2,Horror,Movie,2000,2016,130,8.5,Martin Scorsese,Spain,Amazon Prime
The Office 4,Comedy,TV Show,2007,2017,10,6.6,Francis Ford Coppola,Spain,Disney+
Inception 5,Horror,Movie,2002,2019,120,7.5,Denis Villeneuve,Japan,Amazon Prime
The Crown 4,Fantasy,TV Show,2002,2025,50,5.3,Martin Scorsese,India,Disney+
Sherlock 4,Crime,TV Show,1984,1998,60,5.9,Francis Ford Coppola,Australia,HBO Max
The Witcher 9,Mystery,TV Show,1976,1976,30,5.8,Martin Scorsese,Germany,Hulu
The Godfather 1,Fantasy,Movie,1976,1991,69,5.7,J.J. Abrams,France,Netflix
Titanic 7,Action,TV Show,1972,1979,20,4.1,James Cameron,South Korea,Disney+
Narcos 9,Horror,TV Show,2006,2015,100,6,Martin Scorsese,UK,Hulu
Black Mirror 2,Thriller,TV Show,1978,2000,20,6.2,Ridley Scott,Japan,Hulu
The Witcher 1,Fantasy,TV Show,2011,2018,30,7.3,Martin Scorsese,Japan,HBO Max
Avengers: Endgame 3,Action,Movie,1980,1982,146,7.6,Steven Spielberg,Australia,Apple TV+
The Boys 4,Sci-Fi,TV Show,1981,1997,60,5.1,Ridley Scott,France,Disney+
Gladiator 9,Romance,Movie,1990,2024,99,5.2,Christopher Nolan,India,Apple TV+
Black Mirror 4,Horror,TV Show,2016,2020,10,5,J.J. Abrams,India,Disney+
Gladiator 7,Horror,TV Show,2020,2023,50,6.1,Steven Spielberg,Germany,Hulu
The Witcher 8,Romance,TV Show,1974,2019,40,5.9,Steven Spielberg,France,HBO Max
The Godfather 3,Romance,TV Show,2012,2015,50,6.9,Ridley Scott,India,HBO Max
Stranger Things 7,Romance,Movie,2003,2011,63,4.8,Steven Spielberg,Japan,Hulu
Black Mirror 4,Drama,TV Show,2012,2023,80,6.4,Martin Scorsese,India,Amazon Prime
Westworld 10,Comedy,Movie,1978,1988,170,6.2,Francis Ford Coppola,Canada,Amazon Prime
Pulp Fiction 3,Sci-Fi,Movie,2010,2014,98,6.8,J.J. Abrams,Spain,HBO Max
Inception 4,Mystery,Movie,2001,2025,103,7,David Fincher,Spain,Hulu
Breaking Bad 7,Crime,Movie,1974,2014,109,7.4,Steven Spielberg,Australia,Amazon Prime
Westworld 5,Drama,TV Show,2013,2022,30,9.5,James Cameron,Japan,Netflix
The Godfather 10,Fantasy,TV Show,1984,2009,30,4.5,Ridley Scott,USA,Netflix
Avengers: Endgame 7,Fantasy,TV Show,1972,2023,100,4.5,Martin Scorsese,India,Hulu
Narcos 9,Thriller,Movie,2009,2014,149,4,Quentin Tarantino,South Korea,Apple TV+
The Boys 9,Comedy,Movie,1981,2003,173,7.8,J.J. Abrams,Canada,Netflix
Stranger Things 9,Horror,TV Show,1974,2023,80,6.2,Francis Ford Coppola,Japan,Hulu
Stranger Things 3,Sci-Fi,Movie,2023,2024,173,6,Denis Villeneuve,France,HBO Max
Westworld 2,Mystery,TV Show,1994,2021,20,5,James Cameron,South Korea,Amazon Prime
The Boys 5,Sci-Fi,TV Show,1985,2018,40,5.9,Martin Scorsese,Germany,Netflix
House of Cards 10,Romance,Movie,2011,2015,78,8.4,Martin Scorsese,France,Disney+
Pulp Fiction 1,Romance,TV Show,1970,2019,90,6.6,James Cameron,Japan,Hulu
Gladiator 8,Drama,Movie,1996,2020,104,8,Christopher Nolan,Canada,HBO Max
Fight Club 5,Fantasy,TV Show,1997,2025,50,5.9,David Fincher,Japan,HBO Max
Westworld 8,Fantasy,Movie,2022,2023,68,4.3,Quentin Tarantino,Germany,Apple TV+
Westworld 8,Drama,Movie,1981,2016,103,6.5,Martin Scorsese,France,Apple TV+
Game of Thrones 3,Horror,TV Show,1970,2005,30,5.9,Martin Scorsese,Australia,Hulu
Squid Game 6,Crime,TV Show,2006,2008,50,6.1,Ridley Scott,Japan,Hulu
The Mandalorian 2,Action,Movie,1990,2017,124,7.1,David Fincher,Germany,Amazon Prime
Game of Thrones 6,Crime,TV Show,2017,2023,50,9.5,James Cameron,USA,Netflix
Titanic 9,Drama,TV Show,2018,2023,40,8.4,James Cameron,France,Netflix
The Office 2,Action,Movie,1985,2016,92,7.5,Christopher Nolan,USA,Apple TV+
The Boys 8,Thriller,TV Show,2013,2015,70,8.2,Christopher Nolan,Germany,Netflix
Game of Thrones 5,Mystery,TV Show,1980,2004,70,8.9,James Cameron,Spain,Hulu
Interstellar 6,Romance,Movie,1970,1993,93,8.8,Steven Spielberg,Japan,Netflix
The Godfather 5,Sci-Fi,TV Show,2011,2020,20,6.3,Ridley Scott,India,Amazon Prime
The Mandalorian 7,Action,Movie,1987,1997,106,5.3,Christopher Nolan,India,Disney+
Stranger Things 8,Crime,Movie,1978,2001,133,7.4,Christopher Nolan,France,Netflix
Inception 2,Comedy,TV Show,2008,2017,50,5,Ridley Scott,South Korea,Disney+
Sherlock 3,Horror,TV Show,1989,2000,60,6.4,Francis Ford Coppola,France,Amazon Prime
House of Cards 10,Sci-Fi,TV Show,2009,2011,50,4.1,David Fincher,India,Netflix
Avengers: Endgame 7,Thriller,TV Show,2020,2021,40,7.3,Christopher Nolan,South Korea,Disney+
The Office 3,Crime,TV Show,1996,2004,90,7.4,Christopher Nolan,India,Amazon Prime
Pulp Fiction 4,Romance,Movie,1993,2016,121,5.3,David Fincher,South Korea,Hulu
The Godfather 6,Romance,Movie,1999,2014,142,8,Denis Villeneuve,South Korea,Netflix
Stranger Things 5,Drama,Movie,1982,2015,118,7.5,Martin Scorsese,Japan,Amazon Prime
The Mandalorian 10,Sci-Fi,Movie,1978,2003,138,5.3,Ridley Scott,Canada,Disney+
The Witcher 7,Horror,Movie,1998,2018,74,5.8,Denis Villeneuve,UK,Amazon Prime
The Witcher 6,Sci-Fi,Movie,2024,2024,86,6.6,Denis Villeneuve,South Korea,Disney+
Money Heist 6,Comedy,Movie,2019,2024,79,4.8,Francis Ford Coppola,Canada,Amazon Prime
Breaking Bad 10,Romance,TV Show,2024,2025,70,5,Francis Ford Coppola,Canada,Disney+
The Godfather 2,Mystery,Movie,1976,1986,99,4.9,J.J. Abrams,UK,HBO Max
Breaking Bad 2,Romance,TV Show,2012,2022,80,4.7,J.J. Abrams,Canada,Hulu
Stranger Things 10,Action,TV Show,2000,2009,40,5.1,James Cameron,South Korea,Netflix
Interstellar 9,Comedy,TV Show,1980,1987,20,5.9,Steven Spielberg,Japan,Apple TV+
The Dark Knight 1,Mystery,TV Show,2017,2023,40,6,Quentin Tarantino,Germany,Disney+
Chernobyl 9,Mystery,Movie,2024,2025,117,8.2,Francis Ford Coppola,India,Netflix
The Witcher 10,Fantasy,Movie,1999,2024,107,9,James Cameron,UK,Netflix
Westworld 6,Action,Movie,1992,1993,123,8.9,Steven Spielberg,Australia,Hulu
The Dark Knight 6,Sci-Fi,TV Show,2003,2018,40,5.2,James Cameron,India,Disney+
Gladiator 7,Drama,Movie,1980,2020,142,6.2,Martin Scorsese,France,Hulu
Fight Club 4,Sci-Fi,Movie,1979,1993,147,4.8,Quentin Tarantino,France,Hulu
Fight Club 4,Fantasy,TV Show,2019,2021,100,6.1,Francis Ford Coppola,UK,Disney+
Black Mirror 10,Horror,Movie,1996,2011,79,4.1,J.J. Abrams,Canada,Amazon Prime
The Boys 8,Action,TV Show,1996,2019,60,5.9,Ridley Scott,South Korea,Amazon Prime
The Mandalorian 5,Thriller,TV Show,1981,2011,70,9.1,Francis Ford Coppola,Japan,Disney+
Squid Game 5,Sci-Fi,Movie,2010,2012,157,8.1,Martin Scorsese,India,Apple TV+
The Boys 10,Sci-Fi,TV Show,2000,2004,50,4.3,James Cameron,France,HBO Max
Chernobyl 9,Thriller,TV Show,2007,2025,60,4.5,David Fincher,Australia,Hulu
Black Mirror 1,Sci-Fi,TV Show,1971,2000,50,5.4,J.J. Abrams,UK,Disney+
Fight Club 8,Comedy,Movie,2022,2025,154,4.5,Ridley Scott,UK,Hulu
Sherlock 5,Mystery,Movie,2012,2022,176,8.5,Francis Ford Coppola,Germany,Amazon Prime
Squid Game 6,Action,Movie,2020,2025,141,4.8,Martin Scorsese,South Korea,Apple TV+
Breaking Bad 9,Sci-Fi,TV Show,1976,1996,100,5.4,Martin Scorsese,France,Netflix
The Godfather 2,Comedy,TV Show,2003,2012,70,7.6,Ridley Scott,Germany,HBO Max
Inception 6,Fantasy,Movie,1983,2016,150,6.7,David Fincher,USA,Netflix
The Godfather 2,Mystery,TV Show,1992,2000,90,7.5,Quentin Tarantino,USA,Hulu
The Dark Knight 8,Comedy,Movie,1977,2013,123,7.4,James Cameron,Spain,Disney+
Money Heist 8,Sci-Fi,Movie,2013,2017,134,5.1,Quentin Tarantino,Japan,Hulu
Sherlock 6,Drama,TV Show,2012,2023,90,4.5,Steven Spielberg,Spain,HBO Max
Black Mirror 8,Horror,Movie,1997,2010,83,8.5,James Cameron,South Korea,HBO Max
The Godfather 3,Fantasy,Movie,1997,2015,134,7.1,David Fincher,USA,Amazon Prime
The Boys 2,Sci-Fi,Movie,1977,2025,159,5.2,J.J. Abrams,Spain,Hulu
Money Heist 5,Sci-Fi,Movie,2008,2018,114,5.5,Christopher Nolan,USA,HBO Max
The Crown 10,Thriller,TV Show,1980,2005,20,5,Steven Spielberg,Japan,Hulu
The Witcher 2,Romance,TV Show,2003,2005,70,4.9,Ridley Scott,Canada,Hulu
The Mandalorian 1,Mystery,TV Show,2007,2017,100,7,James Cameron,Spain,HBO Max
The Office 10,Crime,TV Show,2017,2025,30,8.7,Christopher Nolan,Germany,Hulu
Chernobyl 4,Action,Movie,1996,2017,171,7,David Fincher,Japan,Hulu
Squid Game 7,Romance,Movie,2005,2023,140,8.9,Christopher Nolan,UK,HBO Max
Interstellar 9,Thriller,Movie,2022,2023,145,4.6,Martin Scorsese,South Korea,HBO Max
Avengers: Endgame 7,Action,TV Show,2022,2025,80,8.6,Quentin Tarantino,Canada,Amazon Prime
Friends 7,Mystery,Movie,1979,1995,68,7.7,Francis Ford Coppola,Australia,HBO Max
The Crown 2,Romance,TV Show,1987,1995,60,7,Christopher Nolan,Australia,Netflix
The Dark Knight 2,Action,TV Show,1986,2015,50,6.6,Martin Scorsese,Spain,HBO Max
Friends 3,Drama,Movie,2019,2019,167,4.7,Christopher Nolan,Germany,Netflix
Narcos 1,Comedy,TV Show,2007,2015,80,6,Steven Spielberg,Japan,Amazon Prime
The Godfather 8,Mystery,Movie,1985,2017,104,8.2,Martin Scorsese,Canada,Disney+
Avengers: Endgame 6,Thriller,Movie,2021,2025,108,9.2,J.J. Abrams,Germany,Hulu
The Godfather 6,Action,Movie,1992,1995,139,9,David Fincher,India,Hulu
Gladiator 6,Crime,TV Show,2019,2023,20,6.9,Denis Villeneuve,South Korea,Apple TV+
Inception 1,Horror,Movie,2009,2018,102,7.3,Steven Spielberg,India,Netflix
Squid Game 6,Mystery,TV Show,1970,2009,20,8.3,James Cameron,Japan,Amazon Prime
Inception 4,Action,TV Show,2009,2010,90,4.5,Ridley Scott,Australia,HBO Max
Breaking Bad 7,Drama,TV Show,2010,2011,70,5.1,J.J. Abrams,India,Disney+
The Crown 4,Romance,Movie,2003,2015,62,5,David Fincher,Japan,Amazon Prime
The Boys 3,Comedy,Movie,1982,2024,82,8,Martin Scorsese,France,Hulu
Interstellar 5,Horror,Movie,1991,2007,172,8,Christopher Nolan,Canada,Netflix
Gladiator 5,Comedy,Movie,2012,2012,126,8.4,James Cameron,Australia,HBO Max
Interstellar 8,Drama,TV Show,2021,2025,30,6.2,Denis Villeneuve,Germany,Amazon Prime
The Mandalorian 4,Thriller,TV Show,1997,2014,50,7.2,Denis Villeneuve,Australia,Amazon Prime
Stranger Things 8,Fantasy,Movie,2012,2022,60,7.4,David Fincher,France,Netflix
The Mandalorian 5,Mystery,Movie,2015,2020,144,7.6,Francis Ford Coppola,UK,Netflix
Avengers: Endgame 3,Mystery,Movie,1985,2019,147,8.2,Quentin Tarantino,India,Hulu
Narcos 10,Comedy,Movie,1997,2001,124,9.1,Quentin Tarantino,Japan,Hulu
House of Cards 3,Comedy,TV Show,2019,2022,100,8.4,David Fincher,USA,HBO Max
The Office 10,Sci-Fi,Movie,1997,2013,130,6.8,Ridley Scott,India,Amazon Prime
Gladiator 10,Romance,TV Show,1995,2010,90,6.4,Francis Ford Coppola,Canada,HBO Max
Black Mirror 7,Action,TV Show,1982,2001,10,6,David Fincher,Spain,HBO Max
Stranger Things 3,Sci-Fi,TV Show,1981,1984,30,4.6,Christopher Nolan,Japan,Amazon Prime
Titanic 1,Action,Movie,1993,2013,85,7.3,Quentin Tarantino,Canada,HBO Max
Stranger Things 10,Fantasy,TV Show,1992,2002,70,9.1,Christopher Nolan,Australia,Hulu
Money Heist 1,Fantasy,Movie,1976,1987,84,4.2,Steven Spielberg,Germany,Disney+
Narcos 4,Sci-Fi,Movie,2002,2009,153,8.9,Quentin Tarantino,Canada,Amazon Prime
The Mandalorian 4,Fantasy,TV Show,1986,2002,50,7.5,Ridley Scott,Japan,Netflix
Money Heist 3,Sci-Fi,TV Show,2021,2025,40,7.1,Denis Villeneuve,Australia,Netflix
Pulp Fiction 7,Romance,TV Show,2022,2022,30,5.5,Francis Ford Coppola,Japan,Hulu
Avengers: Endgame 10,Sci-Fi,TV Show,2004,2009,30,7.4,James Cameron,Australia,Amazon Prime
The Boys 6,Comedy,TV Show,2017,2018,50,6.4,Francis Ford Coppola,USA,Apple TV+
Inception 8,Fantasy,Movie,1972,2005,132,8.2,Steven Spielberg,Canada,Amazon Prime
Narcos 1,Action,TV Show,2000,2022,20,6.3,Martin Scorsese,Spain,Amazon Prime
Squid Game 8,Sci-Fi,Movie,2000,2009,128,9.5,Martin Scorsese,Germany,Apple TV+
House of Cards 5,Thriller,Movie,2005,2007,105,7.5,Quentin Tarantino,South Korea,Disney+
The Office 6,Mystery,TV Show,1988,2011,90,5.3,Martin Scorsese,Australia,HBO Max
Westworld 3,Thriller,Movie,2004,2022,74,4.5,David Fincher,Spain,HBO Max
Game of Thrones 8,Crime,TV Show,1984,1996,80,5.6,Quentin Tarantino,France,HBO Max
The Witcher 8,Mystery,TV Show,1971,2006,70,6.3,James Cameron,UK,Disney+
Titanic 8,Thriller,TV Show,2006,2013,20,8.3,Steven Spielberg,Spain,HBO Max
Inception 10,Drama,TV Show,2011,2020,50,7,Steven Spielberg,Spain,Amazon Prime
Game of Thrones 1,Thriller,Movie,2003,2005,61,8.9,Quentin Tarantino,France,HBO Max
The Godfather 3,Sci-Fi,TV Show,2020,2022,100,7.5,Martin Scorsese,France,Netflix
Money Heist 6,Fantasy,TV Show,1973,2002,10,5.9,Denis Villeneuve,Germany,Amazon Prime
Squid Game 9,Thriller,Movie,2014,2021,81,7.7,Francis Ford Coppola,Germany,Apple TV+
The Boys 9,Horror,Movie,1989,2024,135,9.1,Francis Ford Coppola,Australia,HBO Max
Gladiator 4,Thriller,TV Show,1982,1999,70,4.1,J.J. Abrams,South Korea,Disney+
Fight Club 4,Sci-Fi,TV Show,1988,2003,30,5.2,James Cameron,USA,Apple TV+
Inception 7,Horror,TV Show,2003,2006,30,5.8,Quentin Tarantino,UK,Apple TV+
Avengers: Endgame 8,Crime,TV Show,1983,2008,40,5.5,Francis Ford Coppola,Japan,Amazon Prime
Money Heist 4,Fantasy,Movie,2010,2016,79,7.4,James Cameron,Spain,Apple TV+
Fight Club 3,Sci-Fi,Movie,2002,2004,156,7.3,Martin Scorsese,South Korea,Netflix
Game of Thrones 1,Crime,TV Show,1998,2025,80,8.5,J.J. Abrams,Japan,Netflix
Fight Club 4,Romance,TV Show,2023,2025,100,8.8,Christopher Nolan,Canada,Netflix
Narcos 6,Comedy,TV Show,2012,2022,50,6.2,Francis Ford Coppola,Canada,Netflix
Breaking Bad 5,Horror,TV Show,2005,2007,20,4.8,J.J. Abrams,South Korea,Hulu
Black Mirror 5,Sci-Fi,TV Show,2005,2010,70,9.4,Martin Scorsese,Japan,Hulu
Pulp Fiction 7,Thriller,Movie,2005,2006,113,8.3,James Cameron,Australia,Disney+
Breaking Bad 9,Crime,TV Show,2000,2011,40,8.4,Francis Ford Coppola,USA,Hulu
Black Mirror 10,Fantasy,TV Show,2021,2021,40,8.3,Christopher Nolan,South Korea,Amazon Prime
Chernobyl 8,Crime,TV Show,1987,2004,20,9.1,Ridley Scott,Spain,Apple TV+
Gladiator 5,Horror,TV Show,1975,1991,20,6.6,James Cameron,France,Netflix
Narcos 5,Horror,TV Show,2013,2017,50,6,Francis Ford Coppola,India,Disney+
Sherlock 2,Crime,Movie,1971,1981,150,4.4,Steven Spielberg,Canada,Hulu
Chernobyl 4,Horror,TV Show,2010,2024,10,7.6,Quentin Tarantino,UK,Amazon Prime
Westworld 6,Comedy,TV Show,2023,2025,20,5.8,Quentin Tarantino,India,Apple TV+
The Office 1,Sci-Fi,TV Show,2017,2021,100,9,Quentin Tarantino,France,Hulu
Breaking Bad 8,Romance,TV Show,1997,2019,100,5.5,Christopher Nolan,Australia,HBO Max
Squid Game 7,Comedy,TV Show,2003,2011,30,7.2,James Cameron,Australia,Netflix
Narcos 4,Drama,TV Show,1983,1992,20,9.2,Francis Ford Coppola,Spain,Apple TV+
Squid Game 1,Action,Movie,2001,2004,133,7.7,Francis Ford Coppola,France,Apple TV+
Titanic 4,Fantasy,TV Show,2015,2021,20,9.4,Christopher Nolan,South Korea,Apple TV+
House of Cards 7,Comedy,TV Show,2024,2024,100,8.6,Denis Villeneuve,USA,Amazon Prime
Interstellar 5,Sci-Fi,Movie,1987,1996,165,8.8,Francis Ford Coppola,Germany,Apple TV+
Fight Club 3,Drama,Movie,1992,2024,119,9.2,Denis Villeneuve,India,Apple TV+
Fight Club 3,Thriller,Movie,1970,2019,161,4.3,James Cameron,South Korea,Disney+
The Crown 3,Action,Movie,1978,2011,112,6.5,Martin Scorsese,Spain,Amazon Prime
Black Mirror 8,Crime,TV Show,2022,2023,100,5.6,Francis Ford Coppola,Australia,Disney+
Stranger Things 1,Mystery,TV Show,2020,2024,10,8.2,Ridley Scott,UK,Amazon Prime
Inception 10,Drama,Movie,1987,1997,126,9.3,James Cameron,India,Hulu
The Crown 4,Action,TV Show,1988,2018,60,4.5,David Fincher,Canada,Hulu
Avengers: Endgame 8,Comedy,Movie,1985,1991,154,5.8,Francis Ford Coppola,Canada,Hulu
Gladiator 7,Sci-Fi,Movie,2007,2021,127,8.4,Francis Ford Coppola,Spain,Amazon Prime
The Boys 4,Fantasy,Movie,1981,2013,64,7.3,Francis Ford Coppola,Japan,Disney+
Avengers: Endgame 4,Romance,Movie,2004,2021,170,8,Quentin Tarantino,Japan,Hulu
Game of Thrones 8,Horror,TV Show,2003,2012,40,5.1,J.J. Abrams,UK,Disney+
The Godfather 1,Comedy,Movie,2014,2023,127,8.5,Quentin Tarantino,Australia,HBO Max
Pulp Fiction 3,Drama,TV Show,1971,2020,60,4.2,James Cameron,USA,Disney+
Squid Game 5,Action,Movie,2019,2025,89,4.9,Francis Ford Coppola,France,Apple TV+
The Office 8,Fantasy,Movie,1980,1992,115,8.7,James Cameron,UK,HBO Max
The Witcher 1,Romance,TV Show,1973,1987,40,4.2,Steven Spielberg,India,Amazon Prime
Interstellar 3,Comedy,TV Show,1991,1995,70,4.2,Denis Villeneuve,Canada,Netflix
Fight Club 3,Fantasy,Movie,2008,2023,143,8.3,David Fincher,UK,Disney+
Friends 5,Romance,TV Show,1988,1993,60,5.5,Martin Scorsese,France,Disney+
Fight Club 5,Thriller,Movie,1998,2022,178,6.6,Martin Scorsese,Japan,Amazon Prime
The Mandalorian 6,Thriller,TV Show,2011,2021,80,7.1,Quentin Tarantino,Germany,Amazon Prime
Money Heist 9,Drama,Movie,1996,2014,99,7.2,Quentin Tarantino,UK,Apple TV+
Fight Club 7,Mystery,TV Show,2023,2025,10,7.2,Ridley Scott,Australia,Netflix
Gladiator 2,Crime,TV Show,1992,2020,80,5.6,Ridley Scott,South Korea,Disney+
Fight Club 1,Drama,Movie,1991,2024,113,6.1,Steven Spielberg,Germany,Netflix
